Anno;CAP;totale_veicoli;BENZINA;BENZINA E GAS LIQUIDO;BENZINA E METANO;ELETTRICITA;GASOLIO;IBRIDO BENZINA;IBRIDO GASOLIO;METANO;ALTRE ALIMENTAZIONI;ALIMENTAZIONE NON DEFINITO;18 - 25 ANNI;26 - 35 ANNI;36 - 50 ANNI;51 - 60 ANNI;61 - 70 ANNI;0 - 17 ANNI;ETÀ NON CONTEMPLATO;ETÀ NON DEFINITO;OLTRE 70 ANNI;EURO 0;EURO 1;EURO 2;EURO 3;EURO 4;EURO 5;EURO 5B;EURO 6;EURO 6A;EURO 6B;EURO 6C;EURO 6D;EURO NON CONTEMPLATO;EURO NON DEFINITO;SESSO FEMMINILE;SESSO MASCHILE;SESSO ND;SOCIETÀ PA;SOCIETÀ SAPA;SOCIETÀ SAS;SOCIETÀ SNC;SOCIETÀ SOC;SOCIETÀ SPA;SOCIETÀ SRL;SOCIETÀ SURL;SRLS;ANZIANITÀ VEICOLO 0 - 1 ANNI;ANZIANITÀ VEICOLO 2 – 3 ANNI;ANZIANITÀ VEICOLO 4 – 5 ANNI;ANZIANITÀ VEICOLO 6 – 7 ANNI;ANZIANITÀ VEICOLO 8 – 9 ANNI;ANZIANITÀ VEICOLO 10 - 12 ANNI;ANZIANITÀ VEICOLO 13 - 15 ANNI;ANZIANITÀ VEICOLO OLTRE 15 ANNI;ANZIANITÀ VEICOLO NON DEFINITO
2019;40129;10021;4444;1376;674;3;3263;251;9;;;1;184;1043;2885;2310;1499;;536;5;1559;651;146;610;958;2893;2058;;2700;;;;;3;2;3656;5829;3;;;54;49;97;93;240;;;1100;1191;931;806;975;1579;1196;2240;3
2019;40136;5249;2604;307;171;24;1803;328;12;;;;91;349;1169;1214;1078;;327;11;1010;442;85;253;343;1123;1132;;1846;;;;;24;1;2249;2673;1;;;27;14;49;14;222;;;706;826;612;424;501;668;448;1059;5
2020;40126;5518;2583;459;242;15;1884;274;19;41;1;;47;650;1276;1022;958;;649;7;909;495;96;268;389;1307;1089;;1854;;;;;15;5;2053;2816;18;28;;58;48;120;140;237;;;625;676;607;422;450;765;621;1347;5
2020;40128;17969;7525;2294;1066;27;6110;718;27;201;;1;258;1803;5068;3630;2524;;1780;13;2893;934;253;869;1379;4628;3663;;6212;;;;;27;4;6190;9999;6;7;;64;93;234;753;618;2;3;2070;2378;1953;1502;1526;2551;2221;3763;5
2020;40135;5033;2508;413;227;17;1498;306;16;48;;;63;437;1151;1096;937;1;192;4;1152;321;52;194;292;1158;1047;;1951;;;;;17;1;2095;2746;;2;;26;20;58;2;76;;8;643;712;620;445;445;660;590;917;1
2020;40138;19493;8167;2216;1150;48;6535;922;234;221;;;253;1919;4698;3858;2906;2;3015;21;2821;1004;272;840;1410;4618;3788;;7510;;;;;48;3;6774;9704;;34;;110;240;206;954;1469;;2;3017;2564;2150;1608;1486;2661;2202;3802;3
2021;40127;15713;6604;2078;994;53;4949;787;43;204;;1;257;1749;4087;3303;2398;2;1076;24;2817;1073;231;792;1176;3886;3012;;5489;;;;;53;1;5615;9022;5;26;;116;107;126;257;435;1;3;1486;1783;1743;1348;1131;2156;2002;4060;4
2021;40129;9936;4259;1441;572;27;3048;452;27;109;;1;189;1005;2758;2317;1602;;490;7;1568;620;133;483;753;2472;1942;;3504;;;;;27;2;3704;5742;3;;;46;39;83;82;233;;4;839;1152;1147;880;761;1438;1230;2486;3
2021;40131;14615;6256;1861;715;102;4636;829;52;164;;;213;1562;3818;2886;2151;;1451;17;2517;803;246;691;1134;3427;2764;;5446;;;;;102;2;5216;7948;2;1;;61;56;71;25;1228;;7;1498;1672;1737;1354;1085;1923;1819;3525;2
2021;40132;14769;6277;1864;904;47;4711;696;39;231;;;274;1454;4114;3199;2266;1;804;12;2645;756;195;565;935;3366;2982;;5921;;;;;47;2;5512;8453;;;;46;58;49;188;453;;10;1439;1965;1878;1523;1150;1974;1798;3040;2
2021;40138;18824;7840;2148;1069;153;5828;1289;236;261;;;279;1867;4627;3799;2966;2;2342;24;2918;985;248;757;1215;4064;3497;;7902;;;;;153;3;6863;9619;;33;;103;188;133;587;1285;;13;2533;2435;2304;1725;1377;2392;2098;3957;3
2021;40141;11169;5146;1268;558;38;3226;779;39;114;;1;179;1049;2785;2587;1983;1;150;24;2411;553;130;436;708;2556;2204;;4542;;;;;38;2;4683;6336;1;;;29;21;12;5;80;;2;1084;1450;1505;1081;853;1516;1395;2282;3
