DATE,C6H6 (BENZENE),CO (MONOSSIDO DI CARBONIO),NO (MONOSSIDO DI AZOTO),NO2 (BIOSSIDO DI AZOTO),NOX (OSSIDI DI AZOTO),PM10,PM2.5,TOTAL VEHICLES,BENZINA,BENZINA E GAS LIQUIDO,BENZINA E METANO,ELETTRICITA,GASOLIO,IBRIDO BENZINA,IBRIDO GASOLIO,METANO,Diesel_Ibrido,Diesel_NON ibrido,Elettrico_NON ibrido,Gas naturale_Ibrido,Gas naturale_NON ibrido,TOTAL PUBLIC FLEET,URBAN PASSENGERS BOLOGNA
2017-01,2.3,828.23,45.07,54.65,138.24,58.49,48.06,,,,,,,,,,36.0,165.0,101.0,0.0,206.0,508.0,9378950.0
2017-02,2.53,965.74,40.45,45.7,116.95,36.82,30.93,,,,,,,,,,36.0,165.0,101.0,0.0,206.0,508.0,9378950.0
2017-03,1.39,789.87,21.35,33.45,83.65,26.38,18.86,,,,,,,,,,36.0,165.0,101.0,0.0,206.0,508.0,9378950.0
2017-04,1.01,752.3,11.24,24.0,58.36,16.99,10.29,,,,,,,,,,36.0,165.0,101.0,0.0,206.0,508.0,9378950.0
2017-05,0.96,794.96,12.07,23.09,59.77,13.9,8.65,,,,,,,,,,36.0,165.0,101.0,0.0,206.0,508.0,9378950.0
2017-06,0.81,583.88,9.12,19.69,49.86,17.48,9.57,,,,,,,,,,36.0,165.0,101.0,0.0,206.0,508.0,9378950.0
2017-07,0.73,415.43,7.67,18.58,44.13,19.08,10.73,,,,,,,,,,36.0,165.0,101.0,0.0,206.0,508.0,9378950.0
2017-08,0.63,482.19,6.99,17.45,40.52,18.8,10.28,,,,,,,,,,36.0,165.0,101.0,0.0,206.0,508.0,9378950.0
2017-09,0.98,600.44,12.29,20.81,52.6,16.44,10.12,,,,,,,,,,36.0,165.0,101.0,0.0,206.0,508.0,9378950.0
2017-10,1.45,770.22,22.26,30.76,85.55,33.29,22.31,,,,,,,,,,36.0,165.0,101.0,0.0,206.0,508.0,9378950.0
