Anno;AUTOBUS;AUTOCARRI TRASPORTO MERCI;AUTOVEICOLI SPECIALI - SPECIFICI;AUTOVETTURE;MOTOCARRI E QUADRICICLI TRASPORTO MERCI;MOTOCICLI;MOTOVEICOLI E QUADRICICLI SPECIALI - SPECIFICI;RIMORCHI E SEMIRIMORCHI  SPECIALI - SPECIFICI;RIMORCHI E SEMIRIMORCHI  TRASPORTO MERCI;TRATTORI STRADALI O MOTRICI;ALTRI VEICOLI
2004;2658;65386;10574;739121;1393;115286;370;14837;3796;2149;0
2005;2876;66309;10719;739537;1297;123511;451;14944;3873;2146;0
2006;2766;66566;10677;736805;1234;129966;529;14754;3972;2121;0
2007;2776;66206;10846;726896;1207;135923;617;14681;4138;2085;0
2008;3016;66933;11127;723932;1172;140699;694;14735;4412;2205;3
2010;3137;65939;10964;716454;1088;149016;765;2293;3781;2290;3
2011;3074;65866;10866;724450;1090;152858;783;2250;3910;2278;1
2012;2866;65104;10814;716094;1075;155142;1036;2333;3913;2249;0
2013;2766;63539;10515;701301;1077;156736;1128;2294;3995;2264;0
2014;2679;62391;10488;686379;1094;157808;1227;2371;4039;2340;0
2015;2739;62251;11261;686922;1092;160879;1362;2380;4149;2419;0
2016;2635;62407;11247;690824;1104;163371;1438;2397;4279;2568;0
2017;2630;63212;11111;700723;1111;166029;1464;2536;4433;2872;0
2018;3026;63035;11313;693084;1086;169490;1505;2704;4724;3197;0
2019;3014;62473;11268;690914;1090;175647;1529;2886;4894;3385;0
2020;2965;62957;11208;688223;1098;178658;1554;2969;5121;3450;0
2021;4250;63379;11611;678839;1107;183361;1599;3242;5501;3779;0
2022;4248;64214;11667;684613;1098;187549;1671;3391;5761;3933;0
